time,e1,e2,e3
0.0,0.0,0.0,0.0
0.0667714579612948,0.0,0.0,0.0
0.1028984579606913,0.0,0.0,0.0
0.16682374995434657,0.0,0.0,0.0
0.23283941694535315,0.0,0.0,0.0
0.25860316696343943,0.0,0.0,0.0
0.3158444579457864,0.0,0.0,0.0
0.36694920796435326,0.0,0.0,0.0
0.43357633298728615,0.0,0.0,0.0
0.5002699999604374,0.0,0.0,0.0
0.5361517919809557,0.0,0.0,0.0
0.599593416962307,0.0,0.0,0.0
0.6587698749499395,0.0,0.0,0.0
0.6941106249578297,0.0,0.0,0.0
0.757869666966144,0.0,0.0,0.0
0.816530457988847,0.0,0.0,0.0
0.8516838749637827,0.0,0.0,0.0
0.9160657079773955,0.0,0.0,0.0
0.9661383329657838,0.0,0.0,0.0
1.0256557919783518,0.0,0.0,0.0
1.0907849169452675,0.0,0.0,0.0
1.1408379579661414,0.0,0.0,0.0
1.1999267499777488,0.0,0.0,0.0
1.2355951249483041,0.0,0.0,0.0
1.3000895419972949,0.0,0.0,0.0
1.3353024579701014,0.0,0.0,0.0
1.3992564169457182,0.0,0.0,0.0
1.4499035829794593,0.0,0.0,0.0
1.51647954195505,0.0,0.0,0.0
1.5839614579454064,0.0,0.0,0.0
1.61958112497814,0.0,0.0,0.0
1.6825680829933845,0.0,0.0,0.0
1.7329957079491578,0.0,0.0,0.0
1.7908256669761613,0.0,0.0,0.0
1.8467719999607652,0.0,0.0,0.0
1.882930999970995,0.0,0.0,0.0
1.941627874970436,0.0,0.0,0.0
2.007613166992087,0.0,0.0,0.0
2.0574160419637337,0.0,0.0,0.0
2.1078808329766616,0.0,0.0,0.0
2.1663739579962566,0.0,0.0,0.0
2.201683916966431,0.0,0.0,0.0
2.2669012919650413,0.0,0.0,0.0
2.334244499972556,0.0,0.0,0.0
2.3702759579755366,0.0,0.0,0.0
2.4327589579625055,0.0,0.0,0.0
2.492403291980736,0.0,0.0,0.0
2.5300560419564135,0.0,0.0,0.0
2.5909985829493962,0.0,0.0,0.0
2.648265999974683,0.0,0.0,0.0
2.7180114169605076,0.0,0.0,0.0
2.753428249969147,0.0,0.0,0.0
2.816445832955651,0.0,0.0,0.0
2.8523074580007233,0.0,0.0,0.0
2.915625707944855,0.0,0.0,0.0
2.9659802919486538,0.0,0.0,0.0
3.0250269579701126,0.0,0.0,0.0
3.0912394169718027,0.0,0.0,0.0
3.141545791993849,0.0,0.0,0.0
3.176947707950603,0.0,0.0,0.0
3.241203166951891,0.0,0.0,0.0
3.29172162496252,0.0,0.0,0.0
3.3583784999791533,0.0,0.0,0.0
3.3936966249602847,0.0,0.0,0.0
3.4578205829602666,0.0,0.0,0.0
3.5173805419472046,0.0,0.0,0.0
3.5532432919717394,0.0,0.0,0.0
3.615881207981147,0.0,0.0,0.0
3.6661472079576924,0.0,0.0,0.0
3.7254781249794178,0.0,0.0,0.0
3.791141291963868,0.0,0.0,0.0
3.8412575419642963,0.0,0.0,0.0
3.90001795795979,0.0,0.0,0.0
3.935458749998361,0.0,0.0,0.0
3.998965041944757,0.0,0.0,0.0
4.049691041989718,0.0,0.0,0.0
4.108987374987919,0.0,0.0,0.0
4.144275874947198,0.0,0.0,0.0
4.207972999953199,0.0,0.0,0.0
4.266574082954321,0.0,0.0,0.0
4.302454541961197,0.0,0.0,0.0
4.36626941699069,0.0,0.0,0.0
4.424281041952781,0.0,0.0,0.0
4.481442124990281,0.0,0.0,0.0
4.519053707947023,0.0,0.0,0.0
4.582880041969474,0.0,0.0,0.0
4.642351499991491,0.0,0.0,0.0
4.679647707962431,0.0,0.0,0.0
4.741205749975052,0.0,0.0,0.0
4.80034270795295,0.0,0.0,0.0
4.866028207994532,0.0,0.0,0.0
4.925068166980054,0.0,0.0,0.0
4.960045499959961,0.0,0.0,0.0
5.024397457949817,0.0,0.0,0.0
5.082632082980126,0.0,0.0,0.0
5.108853041951079,0.0,0.0,0.0
5.17432758299401,0.0,0.0,0.0
5.233676541945897,0.0,0.0,0.0
5.300553499953821,0.0,0.0,0.0
5.336184249958023,0.0,0.0,0.0
5.398686249973252,0.0,0.0,0.0
5.434246666962281,0.0,0.0,0.0
5.499260582961142,0.0,0.0,0.0
5.55752583296271,0.0,0.0,0.0
5.616150999965612,0.0,0.0,0.0
5.66587637498742,0.0,0.0,0.0
5.716285957954824,0.0,0.0,0.0
5.77618274994893,0.0,0.0,0.0
5.816111249965616,0.0,0.0,0.0
5.875493082974572,0.0,0.0,0.0
