t,roll_deg,pitch_deg,yaw_deg,T1_sim,T2_sim,T3_sim,T1_arduino,T2_arduino,T3_arduino,v1,v2,v3
0.0,0.0,3.0000000000000004,0.0,-8.0,-1.885307566892119e-15,8.0,-0.0908456168113931,-1.5811726367770707e-17,0.0908456168113931,-0.04542280840569655,-7.905863183885354e-18,0.04542280840569655
0.0025,3.180554681463517e-18,2.9471941913228847,-2.120369787642345e-17,-8.0,-3.0460688221011955e-16,8.0,-0.04679307286922821,-6.734902540488722e-18,0.04679307286922821,-0.023396536434614104,-3.367451270244361e-18,0.023396536434614104
0.005,3.1228816834245394e-18,2.842540589957961,-4.187730330593631e-17,-4.214219452924543,3.7949004439329277e-17,4.214219452924545,-0.028840785206733343,-4.973791949220216e-18,0.028840785206733343,-0.014420392603366671,-2.486895974610108e-18,0.014420392603366671
0.0075,3.902527268479629e-18,2.721350956271089,-4.466966295354363e-17,-2.3455034182474623,-1.4453707816135812e-16,2.3455034182474623,-0.02360867476473019,-3.040425544550147e-18,0.02360867476473019,-0.011804337382365094,-1.5202127722750734e-18,0.011804337382365094
0.01,3.356883828578681e-18,2.600352324330927,-4.99689741056639e-17,-1.823141199314723,-1.2164437953769245e-16,1.8231411993147235,-0.021568606224189962,-3.276169361207914e-18,0.021568606224189962,-0.010784303112094981,-1.638084680603957e-18,0.010784303112094981
0.0125,3.4051232320543927e-18,2.4835024208770933,-5.038144646540721e-17,-1.6375715812617273,-1.8443453040680277e-16,1.6375715812617273,-0.020354172541757982,-2.3321819052878206e-18,0.020354172541757982,-0.010177086270878991,-1.1660909526439103e-18,0.010177086270878991
0.015000000000000001,2.6222413634843093e-18,2.3715984499532667,-5.2793255485952125e-17,-1.5381082787896359,-1.922796404252916e-16,1.5381082787896359,-0.01937654451432679,-1.9104657086563894e-18,0.01937654451432679,-0.009688272257163394,-9.552328543281947e-19,0.009688272257163394
0.0175,1.5806285609370893e-18,2.2646615518535134,-5.673564732557866e-17,-1.4624194907299677,-1.6503861723467982e-16,1.4624194907299681,-0.018488145806846115,-2.673338939975478e-18,0.018488145806846115,-0.009244072903423058,-1.336669469987739e-18,0.009244072903423058
0.02,1.5523327760475933e-18,2.162528235132446,-5.915664985686566e-17,-1.3949270673869967,-1.056634076901917e-16,1.3949270673869967,-0.017650980577949137,-2.446841173346973e-18,0.017650980577949137,-0.008825490288974568,-1.2234205866734865e-18,0.008825490288974568
0.0225,1.40971056308862e-18,2.064996805246032,-6.121802605582235e-17,-1.3316616474178824,-1.1830574749325065e-16,1.3316616474178824,-0.0168543112937849,-2.196162157961958e-18,0.0168543112937849,-0.00842715564689245,-1.098081078980979e-18,0.00842715564689245
0.024999999999999998,1.1273009888166079e-18,1.9718633621385724,-6.423916219132213e-17,-1.2715396759920432,-9.520842966580923e-17,1.2715396759920432,-0.016094224134190153,-1.568992382007573e-18,0.016094224134190153,-0.008047112067095076,-7.844961910037865e-19,0.008047112067095076
0.027499999999999997,3.0381960697662832e-19,1.882930405189097,-6.891057520045334e-17,-1.2141982106232216,-9.19875414979882e-17,1.214198210623222,-0.015368554685033004,-2.0758690101719993e-18,0.015368554685033004,-0.007684277342516502,-1.0379345050859996e-18,0.007684277342516502
